year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,05:17,2.0,830.0,11.0,UA,N14228,1545,EWR,IAH,02:27,1400,5.0,17.0
2013,1,1,05:33,4.0,850.0,20.0,UA,N24211,1714,LGA,IAH,02:27,1416,5.0,33.0
2013,1,1,05:54,-6.0,812.0,-25.0,DL,N668DN,461,LGA,ATL,01:16,762,5.0,54.0
2013,1,1,05:54,-4.0,740.0,12.0,UA,N39463,1696,EWR,ORD,01:50,719,5.0,54.0
2013,1,1,05:55,-5.0,913.0,19.0,B6,N516JB,507,EWR,FLL,01:58,1065,5.0,55.0
2013,1,1,05:57,-3.0,709.0,-14.0,EV,N829AS,5708,LGA,IAD,00:53,229,5.0,57.0
2013,1,1,05:57,-3.0,838.0,-8.0,B6,N593JB,79,JFK,MCO,01:40,944,5.0,57.0
2013,1,1,05:58,-2.0,753.0,8.0,AA,N3ALAA,301,LGA,ORD,01:38,733,5.0,58.0
2013,1,1,05:58,-2.0,849.0,-2.0,B6,N793JB,49,JFK,PBI,01:49,1028,5.0,58.0
2013,1,1,05:58,-2.0,853.0,-3.0,B6,N657JB,71,JFK,TPA,01:58,1005,5.0,58.0
2013,1,1,05:58,-2.0,924.0,7.0,UA,N29129,194,JFK,LAX,03:45,2475,5.0,58.0
2013,1,1,05:59,-1.0,941.0,31.0,AA,N3DUAA,707,LGA,DFW,02:57,1389,5.0,59.0
2013,1,1,05:59,0.0,702.0,-4.0,B6,N708JB,1806,JFK,BOS,00:44,187,5.0,59.0
2013,1,1,05:59,-1.0,854.0,-8.0,UA,N76515,1187,EWR,LAS,03:37,2227,5.0,59.0
2013,1,1,06:00,0.0,851.0,-7.0,B6,N595JB,371,LGA,FLL,01:52,1076,6.0,0.0
2013,1,1,06:00,0.0,837.0,12.0,MQ,N542MQ,4650,LGA,ATL,01:34,762,6.0,0.0
2013,1,1,06:01,1.0,844.0,-6.0,B6,N644JB,343,EWR,PBI,01:47,1023,6.0,1.0
2013,1,1,06:02,-3.0,821.0,16.0,MQ,N730MQ,4401,LGA,DTW,01:05,502,6.0,2.0
2013,1,1,06:06,-4.0,858.0,-12.0,AA,N633AA,1895,EWR,MIA,01:52,1085,6.0,6.0
2013,1,1,06:06,-4.0,837.0,-8.0,DL,N3739P,1743,JFK,ATL,01:28,760,6.0,6.0
2013,1,1,06:07,0.0,858.0,-17.0,UA,N53442,1077,EWR,MIA,01:57,1085,6.0,7.0
2013,1,1,06:08,8.0,807.0,32.0,MQ,N9EAMQ,3768,EWR,ORD,01:39,719,6.0,8.0
2013,1,1,06:15,0.0,833.0,-9.0,DL,N326NB,575,EWR,ATL,01:20,746,6.0,15.0
2013,1,1,06:22,-8.0,1017.0,3.0,US,N807AW,245,EWR,PHX,03:42,2133,6.0,22.0
2013,1,1,06:23,13.0,920.0,5.0,AA,N3EMAA,1837,LGA,MIA,01:53,1096,6.0,23.0
2013,1,1,06:23,-4.0,933.0,1.0,UA,N459UA,496,LGA,IAH,02:29,1416,6.0,23.0
2013,1,1,06:27,-3.0,1018.0,0.0,US,N535UW,27,JFK,PHX,03:30,2153,6.0,27.0
2013,1,1,06:29,-1.0,824.0,14.0,AA,N3CYAA,303,LGA,ORD,01:40,733,6.0,29.0
2013,1,1,06:29,-1.0,721.0,-19.0,WN,N273WN,4646,LGA,BWI,00:40,185,6.0,29.0
2013,1,1,06:32,24.0,740.0,12.0,EV,N13553,4144,EWR,IAD,00:52,212,6.0,32.0
2013,1,1,06:35,0.0,1028.0,48.0,AA,N3GKAA,711,LGA,DFW,02:48,1389,6.0,35.0
2013,1,1,06:37,-8.0,930.0,-5.0,B6,N709JB,389,LGA,MCO,01:44,950,6.0,37.0
2013,1,1,06:39,-1.0,739.0,-10.0,B6,N805JB,1002,JFK,BOS,00:41,187,6.0,39.0
2013,1,1,06:43,-3.0,922.0,-18.0,UA,N497UA,556,EWR,PBI,01:46,1023,6.0,43.0
2013,1,1,06:44,8.0,931.0,-9.0,UA,N75435,1701,EWR,FLL,01:51,1065,6.0,44.0
2013,1,1,06:46,1.0,910.0,-6.0,UA,N569UA,883,LGA,DEN,02:43,1620,6.0,46.0
2013,1,1,06:51,-4.0,936.0,-6.0,B6,N558JB,203,JFK,LAS,03:23,2248,6.0,51.0
2013,1,1,06:53,-7.0,936.0,-33.0,DL,N327NW,1383,LGA,PBI,01:49,1035,6.0,53.0
2013,1,1,06:56,-4.0,854.0,4.0,AA,N4WNAA,305,LGA,ORD,01:43,733,6.0,56.0
2013,1,1,06:56,-3.0,949.0,-10.0,AA,N5FMAA,1815,JFK,MCO,01:42,944,6.0,56.0
2013,1,1,06:56,-9.0,1007.0,27.0,MQ,N722MQ,4534,LGA,XNA,02:33,1147,6.0,56.0
2013,1,1,06:56,-4.0,948.0,-23.0,UA,N24212,1115,EWR,TPA,01:56,997,6.0,56.0
2013,1,1,06:58,-2.0,944.0,5.0,DL,N6703D,1547,LGA,ATL,01:26,762,6.0,58.0
2013,1,1,06:59,-1.0,1008.0,-7.0,AA,N3EKAA,2279,LGA,MIA,01:59,1096,6.0,59.0
2013,1,1,06:59,-1.0,1008.0,1.0,B6,N646JB,981,JFK,FLL,01:56,1069,6.0,59.0
2013,1,1,06:59,-6.0,907.0,-6.0,DL,N998DL,831,LGA,DTW,01:05,502,6.0,59.0
2013,1,1,07:09,9.0,852.0,20.0,UA,N26226,1092,LGA,ORD,01:35,733,7.0,9.0
2013,1,1,07:12,-3.0,1023.0,-12.0,AA,N3ETAA,825,JFK,FLL,01:59,1069,7.0,12.0
2013,1,1,07:15,2.0,911.0,21.0,UA,N841UA,544,EWR,ORD,01:56,719,7.0,15.0
2013,1,1,07:17,-3.0,850.0,10.0,FL,N978AT,850,LGA,MKE,01:34,738,7.0,17.0
2013,1,1,07:19,-2.0,1017.0,5.0,B6,N562JB,987,JFK,MCO,01:47,944,7.0,19.0
2013,1,1,07:23,-2.0,1013.0,-4.0,UA,N514UA,962,EWR,PBI,01:53,1023,7.0,23.0
2013,1,1,07:24,-6.0,1111.0,31.0,AA,N541AA,715,LGA,DFW,02:54,1389,7.0,24.0
2013,1,1,07:24,-1.0,1020.0,-10.0,AS,N594AS,11,EWR,SEA,03:38,2402,7.0,24.0
2013,1,1,07:25,-5.0,1052.0,12.0,AA,N4WRAA,2083,EWR,DFW,02:38,1372,7.0,25.0
2013,1,1,07:27,-3.0,959.0,7.0,UA,N37462,1162,EWR,DEN,02:54,1605,7.0,27.0
2013,1,1,07:28,-4.0,1041.0,3.0,UA,N488UA,473,LGA,IAH,02:38,1416,7.0,28.0
2013,1,1,07:29,-1.0,1049.0,-26.0,VX,N635VA,11,JFK,SFO,03:56,2586,7.0,29.0
2013,1,1,07:32,47.0,1011.0,30.0,UA,N37456,1111,EWR,MCO,01:45,937,7.0,32.0
2013,1,1,07:33,-3.0,854.0,4.0,B6,N552JB,44,JFK,SYR,00:54,209,7.0,33.0
2013,1,1,07:34,-3.0,1047.0,-26.0,B6,N625JB,643,JFK,SFO,03:50,2586,7.0,34.0
2013,1,1,07:39,-6.0,918.0,-12.0,AA,N4WPAA,309,LGA,ORD,01:37,733,7.0,39.0
2013,1,1,07:39,0.0,1104.0,26.0,UA,N37408,1479,EWR,IAH,02:49,1400,7.0,39.0
2013,1,1,07:41,-4.0,1038.0,2.0,B6,N633JB,983,LGA,TPA,01:58,1010,7.0,41.0
2013,1,1,07:43,13.0,1107.0,7.0,AA,N338AA,33,JFK,LAX,03:58,2475,7.0,43.0
2013,1,1,07:43,13.0,1059.0,3.0,DL,N3760C,495,JFK,SEA,03:49,2422,7.0,43.0
2013,1,1,07:49,39.0,939.0,49.0,MQ,N508MQ,3737,EWR,ORD,01:48,719,7.0,49.0
2013,1,1,07:52,-3.0,1041.0,-18.0,DL,N325US,2263,LGA,MCO,01:40,950,7.0,52.0
2013,1,1,07:52,2.0,1025.0,-4.0,UA,N511UA,477,LGA,DEN,02:49,1620,7.0,52.0
2013,1,1,07:53,-2.0,1056.0,-14.0,AA,N3HMAA,2267,LGA,MIA,01:57,1096,7.0,53.0
2013,1,1,07:54,-5.0,1039.0,-2.0,DL,N935DL,2047,LGA,ATL,01:26,762,7.0,54.0
2013,1,1,07:58,-2.0,1053.0,-1.0,B6,N645JB,517,EWR,MCO,01:42,937,7.0,58.0
2013,1,1,07:59,-1.0,1057.0,-30.0,DL,N955DL,1843,JFK,MIA,01:58,1089,7.0,59.0
2013,1,1,08:01,-4.0,900.0,-19.0,B6,N206JB,1172,EWR,BOS,00:38,200,8.0,1.0
2013,1,1,08:03,-7.0,903.0,-22.0,AA,N3GEAA,1838,JFK,BOS,00:38,187,8.0,3.0
2013,1,1,08:04,-6.0,1103.0,-13.0,DL,N947DL,1959,JFK,MCO,01:47,944,8.0,4.0
2013,1,1,08:05,-10.0,1006.0,-4.0,MQ,N739MQ,4490,LGA,CMH,01:01,479,8.0,5.0
